area,coor_453_457,coor_393_397,coor_333_337,coor_533_537,coor_553_557,coor_593_597,coor_473_477,coor_613_617,coor_313_317,coor_693_697,coor_713_717,coor_353_357,coor_573_577,coor_413_417,coor_433_437,coor_273_277,coor_633_637,coor_493_497,coor_653_657,coor_373_377,coor_293_297,coor_673_677,coor_253_257,coor_733_737,coor_513_517
Dorsal auditory area layer 1,2.4645717806531115e-05,1.8606073878393306e-05,7.179981493597701e-05,0.0,0.0,0.0,0.0,0.0,3.146078727474077e-05,0.0,0.0,5.183728621439211e-05,0.0,2.2191450078113903e-05,7.292474409491884e-05,0.0,0.0,0.0,0.0,1.0175165473628515e-05,5.1436783678491296e-05,0.0,3.887047580053745e-05,0.0,0.0
Dorsal auditory area layer 2/3,4.101111537930497e-05,6.652470295057014e-06,5.3814101339486795e-06,0.0,0.0,0.0,0.0,0.0,2.9999904000307197e-05,0.0,0.0,5.221435873979601e-06,0.0,3.5636606397246e-05,0.0,2.3026625840970752e-05,0.0,1.814236678060073e-05,0.0,1.0971938170934018e-05,6.5889869037296295e-06,0.0,9.265856892546637e-06,0.0,0.0
Dorsal auditory area layer 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2114275437717574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorsal auditory area layer 5,0.0,0.0,1.127000566881285e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.028637790403735e-05,1.0091438524470224e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.968259841791274e-05
Dorsal auditory area layer 6a,1.8633320476342203e-05,4.894163709776092e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2611398499060386e-05,3.548062048509104e-05,0.0,0.0,1.659990737251686e-05,0.0,0.0,2.1639260543188716e-05,0.0,0.0,0.0,6.404262677237969e-05
Dorsal auditory area layer 6b,0.0,4.765353970492927e-05,0.0,0.0,0.0,0.0,0.0002556596658528167,0.0,9.415575244569566e-05,0.0,0.0,7.390983000739098e-05,0.0,0.00010372690779715165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011910717263393602
Laterolateral anterior visual area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laterolateral anterior visual area layer 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laterolateral anterior visual area layer 2/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laterolateral anterior visual area layer 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laterolateral anterior visual arealayer 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laterolateral anterior visual area layer 6a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laterolateral anterior visual area layer 6b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary auditory area,1.7987986864982646e-05,2.542229611636293e-05,1.1184374980776856e-05,3.5104840606471225e-05,3.4535117033755775e-05,0.0,1.517210586661985e-05,0.0,3.91749443324041e-06,0.0,0.0,1.0892139175833218e-05,0.0,1.686341804160374e-05,1.5735038319145445e-05,1.1537059342018432e-05,0.0,2.163800152379615e-05,0.0,1.2159580842412018e-05,1.2412915638722091e-05,0.0,2.7185437304944485e-05,0.0,1.5080749875206796e-05
Primary auditory area layer 1,4.287447639545702e-05,6.467833952592501e-05,6.717594993510804e-06,1.8857499533276884e-05,0.0,0.0,7.576130642796804e-06,0.0,6.934115501561909e-06,0.0,0.0,5.295864036105084e-06,0.0,2.897796177710248e-05,3.666500044609083e-05,0.0,0.0,9.338131888039534e-06,0.0,1.4223375263843609e-05,7.542223251316684e-06,0.0,2.7185437304944485e-05,0.0,1.2267620596844277e-05
Primary auditory area layer 2/3,5.3161147919299254e-05,5.812321506170805e-05,2.5357927141603736e-05,6.593652949670646e-05,0.0,0.0,4.435184764253298e-05,0.0,5.775582799621352e-06,0.0,0.0,3.317701744585025e-05,0.0,4.441547189047282e-05,3.951032483808669e-05,3.036942891807391e-05,0.0,3.2063737580111246e-05,0.0,2.0284675130785442e-05,2.3952937268854153e-05,0.0,0.0,0.0,1.5124211366903538e-05
Primary auditory area layer 4,0.0,0.0,2.052399819799296e-05,1.6666861113379654e-05,0.0,0.0,1.0085738866100722e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8080842874579725e-05,0.0,0.0,0.0,0.0,0.0
Primary auditory area layer 5,2.5677711848826065e-06,0.0,0.0,3.1349450533702e-05,0.0,0.0,5.835749333557426e-06,0.0,0.0,0.0,0.0,3.2762737497084116e-06,0.0,0.0,4.332517231504159e-06,0.0,0.0,2.8573914048396592e-05,0.0,2.8383827689729566e-06,0.0,0.0,0.0,0.0,7.136307032473765e-06
Primary auditory area layer 6a,9.678832152112527e-06,0.0,0.0,4.147587762957064e-05,5.111368194000276e-05,0.0,7.3382215673267145e-06,0.0,0.0,0.0,0.0,1.0893186856280739e-05,0.0,1.6899266290188568e-05,0.0,0.0,0.0,2.095318848161323e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.458636118073602e-05
Primary auditory area layer 6b,0.0,0.0,0.0,0.0,0.0,0.0,3.101486852797231e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2373844502055676e-05,0.0,0.0,0.0,0.0,4.1560686915033333e-05,0.0,0.0,0.0,0.0,0.0
Posterior auditory area,2.088535091044466e-05,1.3805471246309625e-05,7.765864366590216e-06,0.0,0.0,0.0,0.0,0.0,1.1786670689850261e-05,0.0,0.0,1.496105637026819e-05,0.0,1.7831805771691902e-05,1.5019672015422198e-05,6.377776764419913e-06,0.0,0.0,0.0,8.303388086796977e-06,3.239970347791377e-06,0.0,2.1767105897840878e-05,0.0,0.0
Posterior auditory area layer 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7564117583012783e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9017914875813017e-05,0.0,0.0
Posterior auditory area layer 2/3,6.916633812656057e-05,2.4897422618810497e-05,1.7599359383318446e-05,0.0,0.0,0.0,0.0,0.0,2.195466800151048e-05,0.0,0.0,4.396033371168527e-05,0.0,3.302477188138823e-05,0.0,2.7086764323480972e-05,0.0,0.0,0.0,1.9632807599467164e-05,2.1890939340207088e-05,0.0,2.090176484051431e-05,0.0,0.0
Posterior auditory area layer 4,0.0,3.517869015665071e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Posterior auditory area layer 5,0.0,0.0,1.1046452542230588e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.336202766775512e-06,0.0,1.9278632142492226e-05,2.255762910295076e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2567501415369424e-05,0.0,0.0
Posterior auditory area layer 6a,5.194670268304719e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0296236601489363e-05,4.266411819667305e-05,0.0,0.0,0.0,0.0,3.1226775086029764e-05,0.0,0.0,0.0,0.0,0.0
Posterior auditory area layer 6b,0.0,0.00013034156005813235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ventral auditory area,1.4010082589436864e-05,3.006868815951439e-05,0.0,2.7404110407767944e-05,2.5727301628721958e-05,6.537780379975795e-05,1.5591497228957847e-05,0.0,0.0,0.0,0.0,3.410827330277232e-05,4.4556871015537363e-05,1.865319381020707e-05,1.3624640871497428e-05,0.0,0.0,2.0349946153194564e-05,0.0,9.548262168544014e-06,0.0,0.0,0.0,0.0,2.510547195004243e-05
Ventral auditory area layer 1,1.8419813333611677e-05,2.2379876015486873e-05,0.0,0.0,1.3662471377122466e-05,8.820675663755844e-06,2.4247229602472733e-05,0.0,0.0,0.0,0.0,0.0,2.1437958191693933e-05,3.0183697985942446e-05,1.467178124961028e-05,0.0,0.0,2.7254149853127388e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.061610570747671e-05
Ventral auditory area layer 2/3,3.285824419507775e-05,8.273750835993573e-05,0.0,2.9424018944360354e-05,4.4545255306676267e-05,0.0001484860555454054,3.9983810999191e-05,0.0,0.0,0.0,0.0,0.0001027326895418122,0.00010193763048016701,3.454157458458575e-05,4.422354782306822e-05,0.0,0.0,6.263284314186025e-05,0.0,2.6015989427101896e-05,0.0,0.0,0.0,0.0,2.499937501562461e-05
Ventral auditory area layer 4,0.0,0.0,0.0,0.0,2.270123509853093e-05,1.0990049609083936e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.5756688582746796e-05,0.0,0.0,0.0,0.0,1.4834869360431695e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ventral auditory area layer 5,2.7697079259900805e-06,0.0,0.0,4.2085625884037266e-05,1.9996600577901758e-05,6.427487937747637e-05,4.988735435386897e-06,0.0,0.0,0.0,0.0,0.0,2.9239455189205856e-05,0.0,0.0,0.0,0.0,7.4647848773411435e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.8515990938803065e-05
Ventral auditory area layer 6a,2.1463173129824297e-05,0.0,0.0,4.3406847169699935e-05,2.5121572710937992e-05,6.88704371770133e-05,1.4855419628465955e-05,0.0,0.0,0.0,0.0,0.0,5.188298933181974e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.124506477021859e-05
Ventral auditory area layer 6b,0.0,0.0,0.0,0.0,3.842710186640434e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015627686008532718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.141242434756975e-05
Temporal association areas,2.2875976975786695e-05,1.363824406092355e-05,1.5535625074765195e-05,3.1709402096573896e-05,3.428169842961253e-05,5.164464479287599e-05,2.8703023734386814e-05,7.543451581705725e-05,1.0453203880856474e-05,0.00016054023716288154,0.0,1.9478035398602414e-05,4.4334589534770874e-05,1.5493342897890348e-05,1.8516969722594193e-05,1.4753435060726983e-05,8.432621865999314e-05,3.710659281080379e-05,0.00013575664986979806,6.383878918245333e-06,1.2615792474250852e-05,0.00016194252278825015,1.9312314239677408e-05,0.0,3.3213858340047274e-05
Temporal association areas layer 1,0.0,0.0,9.581646165137756e-06,2.2018875460800013e-05,2.4929859839342015e-05,0.0,1.7212889011291656e-05,6.142374089009143e-06,0.0,3.062955997574139e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.263372299860201e-06,7.97996709061572e-06,0.0,0.0,1.9217642102932764e-05,9.65627522701903e-06,5.1435831228750576e-05,0.0,1.2854235963495685e-05
Temporal association areas layer 2/3,1.4730230557568686e-05,3.528686100787744e-05,2.463185637985607e-05,3.5515250409959e-05,3.995398632574818e-05,5.6144305155527376e-05,4.055065080415319e-05,8.636222316362096e-05,1.2060674843000164e-05,0.00020473413566366277,0.0,3.996440503658075e-05,3.365838608038744e-05,3.627170408092943e-05,3.761768693357167e-05,3.068504359833278e-05,0.00014546975365606406,1.991875802559959e-05,0.0001691775433728927,1.315387934209557e-05,3.7373025147062854e-05,0.00022075612125187642,0.0,0.0,2.4674461603247818e-05
Temporal association areas layer 4,1.4208642548916803e-05,0.0,0.0,1.3100811398753982e-05,2.55680365452469e-05,3.06366917274805e-05,1.367730852451931e-05,2.607328505140348e-05,0.0,0.00023188271372339873,0.0,0.0,2.1981548688031267e-05,0.0,0.0,1.8975800162053336e-05,7.04166553497042e-05,0.0,0.0,0.0,0.0,0.0001696093895758069,0.0,0.0,9.160193463285944e-06
Temporal association areas layer 5,1.4092115461399347e-05,4.713643783340192e-06,0.0,4.7201789419836904e-05,2.4362019611425786e-05,3.22822553804028e-05,1.3039300015603694e-05,5.659446829497037e-05,0.0,0.00017492150397509118,0.0,7.950983775222508e-06,4.3594270687084173e-05,5.067542743456156e-06,1.9305364043662944e-05,0.0,6.153509130884524e-05,3.6896965224610275e-05,0.00013564006852837684,5.082979642666531e-06,0.0,0.0001391097642812866,0.0,0.0,4.935965716756517e-05
Temporal association areas layer 6a,8.371758152929698e-05,1.9999900000499998e-05,3.690758709267864e-05,1.6878201161827853e-05,5.61305231119183e-05,0.0001206913198802742,6.719843024466948e-05,0.00015815995892707528,5.337850340910708e-05,0.0002019520686960157,0.0,4.363887088785465e-05,9.721797163646234e-05,2.8962840675413443e-05,2.7837602848343525e-05,0.0,0.00012420728284625766,0.00011728067611407621,0.0002280398883226474,0.0,0.0,0.0002565708550601055,0.0,0.0,7.377014109277185e-05
Temporal association areas layer 6b,0.0,5.0225512551355594e-05,7.45234227117583e-05,3.912271229939829e-05,2.2051008392613793e-05,3.225463095863989e-05,3.955852684046046e-05,0.00010580890911014708,0.0,0.0,0.0,8.81849768073511e-05,2.7239643487546035e-05,4.223008640275678e-05,0.0,0.0,6.62804724472076e-05,4.197060378910611e-05,0.00024946572756679445,7.275372862859222e-05,0.0,7.020302715453091e-05,0.0,0.0,0.0
